alias,crop_id
আউশ,crop:aus-rice-hyv-transplant
আউশ,crop:aus-rice-local-broadcasted
আমন,crop:aman-rice-local-transplant
আলু,crop:potato
আলু,crop:sweet-potatoes
করলা,crop:bitter-gourd
গম,crop:wheat
চিচিঙ্গা,crop:snake-gourd
চিনাবাদাম,crop:groundnut-1
চিনাবাদাম,crop:groundnut-2
ছোলা,crop:chickpea
জুট,crop:jute-capsularis
জুট,crop:jute-olitorius
ঝিঙে,crop:ridge-gourd
টমেটো,crop:tomato
ঢেঁড়স,crop:ladys-finger
ঢেঁড়স,crop:okra
তিল,crop:sesame-1
তিল,crop:sesame-2
ধান,crop:aman-rice-local-transplant
ধান,crop:aus-rice-hyv-transplant
ধান,crop:aus-rice-local-broadcasted
ধান,crop:boro-hyv-transplant
পাট,crop:jute-capsularis
পাট,crop:jute-olitorius
পেঁয়াজ,crop:onion-1
পেঁয়াজ,crop:onion-2
বোরো,crop:boro-hyv-transplant
ভুট্টা,crop:maize-1
ভুট্টা,crop:maize-2
মটর,crop:chickpea
মটর,crop:green-pea
মটর,crop:motor-field-pea
মসুর,crop:lentiles
মুগ,crop:mungbean-1
মুগ,crop:mungbean-2
মুগডাল,crop:mungbean-1
মুগডাল,crop:mungbean-2
রসুন,crop:garlic
লাউ,crop:bottle-gourd
শসা,crop:cucumber
সয়াবিন,crop:soybean-1
সয়াবিন,crop:soybean-2
সরিষা,crop:mustard
সয়াবিন,crop:soybean-1
সয়াবিন,crop:soybean-2
