id,name_bn,name_en,notes
dis:false-smut,ফলস স্মাট,False smut,শীষে হলদে-সবুজ গোল বলের মতো গুচ্ছ
dis:sheath-rot,শীথ রট,Sheath rot,তিলার খোলসে বাদামি পচন
dis:rice-tungro-virus,টুঙ্গরো ভাইরাস,Rice tungro virus,ভাইরাল; পাতায় হলদে-কমলা বর্ণ
dis:narrow-brown-spot,ন্যারো ব্রাউন স্পট,Narrow brown spot,পাতায় সরু বাদামি দাগ
dis:leaf-folder,লিফ ফোল্ডার,Leaf folder,পতঙ্গ; পাতা ভাঁজ করে খায়
dis:yellow-stem-borer,ইয়েলো স্টেম বোরার,Yellow stem borer,পতঙ্গ; ডেড হার্ট/হোয়াইট হেড
dis:rice-hispa,রাইস হিস্পা,Rice hispa,পতঙ্গ; পাতার ওপর স্ক্র্যাপিং
dis:blast,ব্লাস্ট,Blast,পাতা/গোড়ায় পোড়া দাগ
dis:brown-spot,ব্রাউন স্পট,Brown spot,পাতায় বাদামি দাগ
dis:sheath-blight,শীথ ব্লাইট,Sheath blight,তিলার গোড়ায় পচন
dis:powdery-mildew,পাউডারি মিলডিউ,Powdery mildew,পাতায় সাদা ছত্রাক স্তর
dis:septoria-leaf-blotch,সেপ্টোরিয়া লিফ ব্লচ,Septoria leaf blotch,পাতায় অনিয়মিত দাগ
dis:karnal-bunt,কার্নাল বান্ট,Karnal bunt,শীষ/দানায় কালচে গুটি
dis:loose-smut,লুজ স্মাট,Loose smut,শীষে কালো স্পোর
dis:fusarium-head-blight,ফিউজারিয়াম হেড ব্লাইট,Fusarium head blight,শীষ পচা/গোলাপি ছত্রাক
dis:bacterial-wilt,ব্যাকটেরিয়াল উইল্ট,Bacterial wilt,Ralstonia; হঠাৎ ঢলে পড়া
dis:tomato-mosaic-virus,টমেটো মোজাইক ভাইরাস,Tomato mosaic virus,পাতা কুঁচকে মোজাইক দাগ
dis:septoria-leaf-spot,সেপ্টোরিয়া লিফ স্পট,Septoria leaf spot,পাতায় ছোট গোল দাগ
dis:root-knot-nematode,রুট-নট নিমাটোড,Root-knot nematode,গোড়ায় গুটি; গাছ দুর্বল
dis:tomato-fruit-borer,ফ্রুট বোরার,Tomato fruit borer,পতঙ্গ; ফলে গর্ত করে খায়
